model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k4,r5,0,F,-0.00891479568829645,-0.02577352523803711,0.02148315543308854,
blstm,k4,r5,0,C,-0.04064587155900801,-0.02786850929260254,0.021233079954981804,
blstm,k4,r5,0,E,-0.010666769718918223,-0.02539348602294922,0.021381916012614965,
blstm,k4,r5,0,D,-0.006998531469162295,-0.02846229076385498,0.02208091551437974,
blstm,k4,r5,1,train,-0.0005351882715656231,-0.008261680603027344,0.02085900865495205,
blstm,k4,r5,1,G,0.0059311638648029685,-0.018732309341430664,0.021479494869709015,
blstm,k4,r5,1,F,0.02381122862973406,-0.00782763957977295,0.02029091725125909,
blstm,k4,r5,1,C,0.026387857423129657,-0.011319160461425781,0.021177359391003847,
blstm,k4,r5,1,E,0.0036715925015284867,-0.013777971267700195,0.021435196977108717,
blstm,k4,r5,1,D,-0.01295151958228713,-0.017481446266174316,0.021184643730521202,
blstm,k4,r5,2,train,0.01890220390579911,-0.005777120590209961,0.02081757504492998,
blstm,k4,r5,2,G,0.04080578766979698,-0.003904104232788086,0.021172022446990013,
blstm,k4,r5,2,F,0.0015832909118892458,-0.010111331939697266,0.02123498823493719,
blstm,k4,r5,2,C,-0.0023379160647838404,-0.01192784309387207,0.020580860786139965,
blstm,k4,r5,2,E,-0.007176189925419907,-0.03056919574737549,0.02158086933195591,
blstm,k4,r5,2,D,-0.014872112594410014,-0.009745359420776367,0.02099241502583027,
blstm,k4,r5,3,train,0.04094536287603434,-0.014458894729614258,0.02180810971185565,
blstm,k4,r5,3,G,-0.01170590530733584,-0.029496431350708008,0.021529288962483406,
blstm,k4,r5,3,F,-0.02153974417962387,-0.01495063304901123,0.021380246616899967,
blstm,k4,r5,3,C,0.009498199826792897,-0.017781496047973633,0.020905002485960722,
blstm,k4,r5,3,E,0.005825067849422272,-0.012349367141723633,0.02088151592761278,
blstm,k4,r5,3,D,0.02299778073693215,-0.02838277816772461,0.02088008215650916,
blstm,k4,r5,4,train,0.033540646552595255,-0.005520939826965332,0.02089146338403225,
blstm,k4,r5,4,G,0.002954850278344523,-0.00946652889251709,0.020929811988025904,
blstm,k4,r5,4,F,-0.010400653576166263,-0.0163724422454834,0.02087594708427787,
blstm,k4,r5,4,C,-0.02601142004950907,-0.013963937759399414,0.021398908458650112,
blstm,k4,r5,4,E,0.001901001615332576,-0.007268548011779785,0.02084455592557788,
blstm,k4,r5,4,D,-0.027692726045419835,-0.0225447416305542,0.021575288847088814,
blstm,k4,r5,5,train,0.04200687528771674,-0.03400766849517822,0.021736856549978256,
